"","nama","harga","seller","terjual","tanggal_ambil_data"
"162","Minyak Zaitun Extra Virgin Olive Oil","Rp55.000","Andrie Gallery","Terjual 341 Produk",2020-09-04
"163","Bertolli Extra Light Olive Oil 500ml - Minyak Zaitun","Rp88.900","TheOnlineGrocer","Terjual 130 Produk",2020-09-04
"164","POMACE OLIVE OIL (1/2 liter)","Rp45.000","HEANSA KIMIA","Terjual 90 Produk",2020-09-04
"165","Minyak Zaitun Extra Virgin Olive Oil Al Ghuroba 1 Liter Alghuroba","Rp117.500","Edogawa experience","Terjual 107 Produk",2020-09-04
"166","Minyak Zaitun le riche 300ml - leriche 300ml olive oil","Rp33.000","Lapak Al Mabruroh","Terjual 249 Produk",2020-09-04
"167","Pomace Olive Oil / Minyak Zaitun Pomace (1 L)","Rp91.850","Cipta Kimia","Terjual 291 Produk",2020-09-04
"168","Cesar Pomace Olive Oil 5 Liter","Rp335.000","Herbal Gayatri","Terjual 184 Produk",2020-09-04
"169","BERTOLLI EXTRA LIGHT OLIVE OIL 3L","Rp388.000","MOMOGO ID","Terjual 214 Produk",2020-09-04
"170","BERTOLLI EXTRA LIGHT OLIVE OIL 500ML (MINYAK ZAITUN EKSTRA LIGHT)","Rp82.500","PD LARIS","Terjual 178 Produk",2020-09-04
"171","Extra Virgin Olive Oil 500ml | Minyak Zaitun Murni | La Rambla EVOO - non bubble wrap","Rp102.000","Baby Koala","Terjual 93 Produk",2020-09-04
"172","MINYAK ZAITUN - EXTRA VIRGIN OLIVE OIL ""RS"" 500ml","Rp82.000","Distributor Herbal Jkt","Terjual 231 Produk",2020-09-04
"173","Bertolli Extra Virgin Olive Oil 250 ML | Minyak Zaitun Bertolli 250ML","Rp59.000","The Spices House","Terjual 106 Produk",2020-09-04
"174","Borges Extra Light Olive Oil 250 ml","Rp52.650","FingerLand","Terjual 103 Produk",2020-09-04
"175","Minyak Zaitun Al-Amir Ekstra Virgin Olive Oil 175 ML","Rp40.400","amanah kurma","Terjual 179 Produk",2020-09-04
"176","Minyak Zaitun Olive Oil 1Liter Asli Tanpa Campuran","Rp109.000","herbalasli","Terjual 64 Produk",2020-09-04
